temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
548.0,1262.0,32.923,30.803,29.89,29.855,1.0
550.0,1237.0,32.923,30.897,29.868,29.858,1.0
552.0,290.0,32.993,30.897,29.842,29.862,0.0
554.0,290.0,33.039,30.871,29.979,29.862,0.0
556.0,290.0,32.117,30.871,29.886,29.863,0.0
558.0,290.0,30.848,30.871,29.909,29.864,0.0
560.0,290.0,29.709,30.781,29.979,29.856,0.0
562.0,290.0,28.805,30.65,30.005,29.839,0.0
564.0,290.0,27.95,30.471,29.868,29.808,0.0
566.0,290.0,27.343,30.34,29.846,29.769,0.0
568.0,290.0,26.667,30.046,29.916,29.708,0.0
570.0,290.0,26.195,29.916,29.849,29.643,0.0
572.0,290.0,25.611,29.579,29.783,29.555,0.0
574.0,290.0,25.139,29.335,29.623,29.455,0.0
576.0,290.0,24.821,29.07,29.535,29.342,0.0
578.0,290.0,24.348,28.805,29.538,29.218,0.0
580.0,290.0,23.965,28.655,29.291,29.093,0.0
582.0,290.0,23.625,28.413,29.18,28.96,0.0
584.0,290.0,23.327,28.059,29.048,28.809,0.0
586.0,290.0,23.009,27.819,28.893,28.653,0.0
588.0,290.0,22.713,27.579,28.739,28.492,0.0
590.0,290.0,22.526,27.339,28.585,28.326,0.0
592.0,290.0,22.184,27.122,28.432,28.157,0.0
594.0,290.0,21.93,26.883,28.278,27.985,0.0
596.0,290.0,21.698,26.667,28.103,27.811,0.0
598.0,290.0,21.466,26.451,27.928,27.636,0.0
600.0,290.0,21.255,26.213,27.753,27.457,0.0
602.0,290.0,21.045,25.998,27.691,27.278,0.0
604.0,290.0,20.855,25.804,27.405,27.1,0.0
606.0,290.0,20.644,25.611,27.252,26.922,0.0
608.0,290.0,20.455,25.396,26.988,26.744,0.0
610.0,290.0,20.265,25.203,26.883,26.567,0.0
612.0,290.0,20.097,25.01,26.71,26.39,0.0
614.0,290.0,19.95,24.796,26.537,26.213,0.0
616.0,290.0,19.781,24.626,26.364,26.038,0.0
618.0,290.0,19.634,24.433,26.192,25.864,0.0
620.0,322.0,19.466,24.263,26.019,25.692,0.0
622.0,359.0,19.252,24.046,25.822,25.519,0.0
624.0,374.0,19.168,23.919,25.714,25.352,0.0
626.0,418.0,19.017,23.681,25.475,25.181,0.0
