temps,COMMANDE,ACTU,MILIEU,LASER,LASER_ESTIME,STABILITE
290.0,1111.0,28.593,27.499,27.089,26.937,1.0
292.0,1111.0,28.571,27.499,26.999,26.938,1.0
294.0,1117.0,28.571,27.477,26.999,26.937,1.0
296.0,1094.0,28.571,27.568,27.089,26.945,1.0
298.0,1106.0,28.593,27.521,27.021,26.947,1.0
300.0,1112.0,28.662,27.499,27.021,26.948,1.0
302.0,1089.0,28.527,27.59,27.021,26.956,1.0
304.0,1107.0,28.571,27.521,27.042,26.957,1.0
306.0,1095.0,28.571,27.568,27.089,26.963,1.0
308.0,1119.0,28.593,27.477,27.089,26.96,1.0
310.0,1124.0,28.549,27.455,27.046,26.955,1.0
312.0,1130.0,28.684,27.434,27.046,26.949,1.0
314.0,1112.0,28.637,27.502,27.046,26.95,1.0
316.0,1124.0,28.794,27.455,26.977,26.946,1.0
318.0,1106.0,28.703,27.524,26.956,26.949,1.0
320.0,1101.0,28.747,27.546,27.068,26.953,1.0
322.0,1125.0,28.725,27.455,27.068,26.949,1.0
324.0,1130.0,28.659,27.434,27.046,26.944,1.0
326.0,1106.0,28.615,27.524,27.024,26.947,1.0
328.0,1119.0,28.659,27.477,26.956,26.945,1.0
330.0,1125.0,28.728,27.455,26.934,26.942,1.0
332.0,1107.0,28.637,27.524,26.934,26.945,1.0
334.0,1101.0,28.659,27.546,26.956,26.95,1.0
336.0,1096.0,28.659,27.568,27.068,26.956,1.0
338.0,1096.0,28.659,27.568,27.068,26.961,1.0
340.0,1120.0,28.615,27.477,27.068,26.959,1.0
342.0,1102.0,28.684,27.546,27.158,26.962,1.0
344.0,1097.0,28.659,27.568,27.068,26.967,1.0
346.0,1097.0,28.75,27.568,26.977,26.971,1.0
348.0,1023.0,28.75,27.851,27.281,26.999,1.0
350.0,1099.0,29.033,27.564,26.995,27.0,1.0
352.0,1093.0,28.615,27.59,27.089,27.003,1.0
354.0,1082.0,28.662,27.633,27.089,27.01,1.0
356.0,1105.0,28.615,27.542,27.111,27.008,1.0
358.0,1105.0,28.64,27.542,27.111,27.006,1.0
360.0,1111.0,28.684,27.521,27.111,27.002,1.0
362.0,1087.0,28.684,27.611,27.111,27.007,1.0
364.0,1082.0,28.706,27.633,27.064,27.013,1.0
366.0,1088.0,28.662,27.611,27.064,27.017,1.0
368.0,1099.0,28.618,27.568,27.155,27.016,1.0
370.0,1128.0,28.596,27.455,27.133,27.006,1.0
372.0,1110.0,28.596,27.524,27.18,27.003,1.0
374.0,1098.0,28.684,27.568,27.155,27.004,1.0
376.0,1093.0,28.728,27.59,27.176,27.006,1.0
378.0,1093.0,28.728,27.59,27.108,27.009,1.0
380.0,1093.0,28.684,27.59,27.198,27.011,1.0
382.0,1093.0,28.662,27.59,27.198,27.013,1.0
384.0,1122.0,28.527,27.477,27.22,27.005,1.0
386.0,1098.0,28.574,27.568,27.176,27.006,1.0
388.0,1116.0,28.549,27.499,27.198,27.0,1.0
390.0,1098.0,28.662,27.568,27.155,27.002,1.0
